COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Egypt,EGY,EMRO,REPORTING,12/31/23,1.02E+08,5.69E+07,100,56,4.23E+07,41,,1/24/21,,1.52E+07,15
Spain,ESP,EURO,REPORTING,12/23/23,1.19E+08,4.13E+07,252,87,3.75E+07,79,,12/30/20,,3.29E+07,70
Estonia,EST,EURO,REPORTING,12/23/23,2205229,845148,166,64,842177,63,,12/23/20,,487389,37
Ethiopia,ETH,AFRO,REPORTING,12/31/23,6.89E+07,5.25E+07,60,46,4.37E+07,38,,3/13/21,,5978070,5
Finland,FIN,EURO,REPORTING,12/23/23,1.42E+07,4547671,257,82,4365135,79,,12/23/20,,4016189,73
France,FRA,EURO,REPORTING,12/23/23,1.58E+08,5.47E+07,243,84,5.32E+07,82,,12/23/20,,4.10E+07,63
Gabon,GAB,AFRO,REPORTING,12/31/23,572672,311244,26,14,257471,12,,3/23/21,,2592,
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,12/23/23,1.51E+08,5.38E+07,223,79,5.08E+07,75,,12/21/20,,,
Georgia,GEO,EURO,REPORTING,12/23/23,2739270,1300867,69,33,1187212,30,,3/17/21,,251191,6
Ghana,GHA,AFRO,REPORTING,12/31/23,2.56E+07,1.39E+07,82,45,1.08E+07,35,,3/2/21,,4806017,15
Guinea,GIN,AFRO,REPORTING,12/31/23,1.20E+07,8715641,92,66,5853990,45,,3/5/21,,425378,3
Guadeloupe,GLP,,REPORTING,12/29/23,400424,152189,100,38,146147,37,,,,89052,22
Gambia,GMB,AFRO,REPORTING,12/31/23,1444492,674314,60,28,539186,22,,3/10/21,,53741,2
Guinea-Bissau,GNB,AFRO,REPORTING,12/31/23,920752,747057,47,38,547637,28,,4/2/21,,76359,4
Equatorial Guinea,GNQ,AFRO,REPORTING,12/31/23,488738,270109,35,19,214032,15,,2/12/21,,4597,
Greece,GRC,EURO,REPORTING,12/23/23,2.22E+07,7917288,207,74,7745574,72,,12/23/20,,6071723,57
Grenada,GRD,AMRO,REPORTING,12/29/23,90686,44241,81,39,39034,35,,2/15/21,,7411,7
Guatemala,GTM,AMRO,REPORTING,12/29/23,2.04E+07,8937923,114,50,7130895,40,,2/25/21,,3723845,21
French Guiana,GUF,,REPORTING,12/29/23,242386,100359,81,34,90493,30,,,,46361,16
Guyana,GUY,AMRO,REPORTING,12/29/23,967861,497550,123,63,384507,49,,2/11/21,,80224,10
Honduras,HND,AMRO,REPORTING,12/29/23,1.71E+07,6596213,172,67,5853689,59,,2/22/21,,4803544,48
Croatia,HRV,EURO,REPORTING,12/23/23,5435966,2321669,134,57,2246622,55,,12/23/20,,996098,25
Haiti,HTI,AMRO,REPORTING,12/29/23,680104,521396,6,5,366339,3,,,,,
Hungary,HUN,EURO,REPORTING,12/23/23,1.66E+07,6358657,170,65,6152022,63,,12/23/20,,3876420,40
Ireland,IRL,EURO,REPORTING,12/23/23,1.31E+07,4245977,264,86,4063819,82,,12/30/20,,3787948,76
Iceland,ISL,EURO,REPORTING,12/23/23,903424,307412,248,84,297934,82,,12/30/20,,287652,79
Israel,ISR,EURO,REPORTING,12/23/23,1.89E+07,7055466,218,82,6385731,74,,12/16/20,,4474108,52
Italy,ITA,EURO,REPORTING,12/23/23,1.50E+08,5.06E+07,252,85,4.95E+07,83,,12/23/20,,4.49E+07,75
Jamaica,JAM,AMRO,REPORTING,12/29/23,1529113,722248,52,24,760800,26,,3/10/21,,46065,2
Japan,JPN,WPRO,REPORTING,12/31/23,4.33E+08,1.05E+08,343,83,1.03E+08,82,,2/17/21,,8.67E+07,69
Kazakhstan,KAZ,EURO,REPORTING,12/23/23,3.84E+07,1.24E+07,204,66,1.31E+07,70,,4/7/21,,6801526,36
Kenya,KEN,AFRO,REPORTING,12/31/23,2.38E+07,1.45E+07,44,27,1.11E+07,21,,3/5/21,,2000636,4
Kyrgyzstan,KGZ,EURO,REPORTING,12/23/23,3167393,1528725,49,23,1337850,21,,3/31/21,,300818,5
Cambodia,KHM,WPRO,REPORTING,12/31/23,4.78E+07,1.53E+07,286,92,1.47E+07,88,,2/10/21,,1.08E+07,64
Saint Kitts and Nevis,KNA,AMRO,REPORTING,12/29/23,64297,33794,121,64,27000,51,,2/22/21,,3465,7
Kuwait,KWT,EMRO,REPORTING,12/3/23,8261221,3457498,193,81,3346176,78,,12/28/20,,1457547,34
Liberia,LBR,AFRO,REPORTING,12/31/23,4460668,3903802,88,77,3730967,74,,4/1/21,,1987,
Libya,LBY,EMRO,REPORTING,12/31/23,3653384,2316327,53,34,1236102,18,,4/11/21,,186729,3
Saint Lucia,LCA,AMRO,REPORTING,12/29/23,122977,60140,67,33,54971,30,,2/17/21,,7866,4
Lesotho,LSO,AFRO,REPORTING,12/31/23,1339097,1014073,63,47,938088,44,,3/10/21,,177816,8
Lithuania,LTU,EURO,REPORTING,12/23/23,4532649,1960786,162,70,1907061,68,,12/23/20,,902103,32
Luxembourg,LUX,EURO,REPORTING,12/23/23,1337940,469285,214,75,462715,74,,12/30/20,,368527,59
Latvia,LVA,EURO,REPORTING,12/23/23,2979624,1344394,156,70,1304787,68,,12/30/20,,550901,29
Morocco,MAR,EMRO,REPORTING,12/31/23,5.54E+07,2.50E+07,150,68,2.35E+07,64,,1/28/21,,6925973,19
Monaco,MCO,EURO,REPORTING,12/23/23,71929,25123,183,64,25261,64,,6/30/21,,17747,45
Republic of Moldova,MDA,EURO,REPORTING,12/23/23,2293086,1109524,57,28,1078961,27,,3/3/21,,406022,10
Madagascar,MDG,AFRO,REPORTING,12/31/23,3092063,2710365,11,10,2628849,9,,5/10/21,,169187,1
Mexico,MEX,AMRO,REPORTING,12/29/23,2.22E+08,9.67E+07,172,75,8.13E+07,63,,12/24/20,,5.70E+07,44
North Macedonia,MKD,EURO,REPORTING,12/23/23,1862987,854570,89,41,838181,40,,2/17/21,,161633,8
Mali,MLI,AFRO,REPORTING,12/31/23,5922585,4354292,29,22,3633589,18,,3/31/21,,,
Malta,MLT,EURO,REPORTING,12/23/23,1282437,450535,249,88,444904,86,,12/23/20,,354901,69
Montenegro,MNE,EURO,REPORTING,12/23/23,526975,272152,84,43,254365,40,,2/24/21,,,
Mozambique,MOZ,AFRO,REPORTING,12/31/23,3.50E+07,2.29E+07,112,73,2.13E+07,68,,3/8/21,,2323562,7
Mauritania,MRT,AFRO,REPORTING,12/31/23,4075874,2103754,88,45,1540597,33,,3/26/21,,383937,8
Montserrat,MSR,AMRO,REPORTING,12/29/23,4619,2104,92,42,1952,39,,2/8/21,,563,11
Mauritius,MUS,AFRO,REPORTING,12/31/23,2616012,1123773,206,88,1088142,86,,1/26/21,,654507,51
Malawi,MWI,AFRO,REPORTING,12/31/23,8503954,5433538,44,28,4288014,22,,3/11/21,,1232829,6
Malaysia,MYS,WPRO,REPORTING,12/31/23,7.26E+07,2.81E+07,224,87,2.76E+07,85,,2/24/21,,1.63E+07,51
Namibia,NAM,AFRO,REPORTING,12/31/23,1005937,629767,40,25,550978,22,,3/19/21,,298560,12
Niger,NER,AFRO,REPORTING,12/31/23,7372208,6248483,30,26,5483001,23,,3/29/21,,,
Nigeria,NGA,AFRO,REPORTING,12/31/23,1.33E+08,9.38E+07,65,46,8.13E+07,39,,3/5/21,,1.68E+07,8
Nicaragua,NIC,AMRO,REPORTING,12/29/23,1.55E+07,6404524,234,97,6126708,92,,3/3/21,,2892531,44
Netherlands (Kingdom of the),NLD,EURO,REPORTING,12/23/23,4.03E+07,1.35E+07,231,77,1.24E+07,71,,12/30/20,,1.21E+07,70
Norway,NOR,EURO,REPORTING,12/23/23,1.30E+07,4346149,243,81,4061312,76,,12/23/20,,3705726,69
Panama,PAN,AMRO,REPORTING,12/29/23,9201276,3746041,213,87,3178700,74,,1/20/21,,1770843,41
Peru,PER,AMRO,REPORTING,12/29/23,9.13E+07,3.05E+07,277,93,2.87E+07,87,,2/9/21,,2.22E+07,67
Papua New Guinea,PNG,WPRO,REPORTING,12/4/23,543670,399198,6,4,338004,4,,3/30/21,,37525,
Poland,POL,EURO,REPORTING,12/23/23,5.86E+07,2.30E+07,154,61,2.27E+07,60,,12/23/20,,1.29E+07,34
Puerto Rico,PRI,AMRO,REPORTING,12/29/23,7846764,3136418,274,100,2688410,94,,,,1808780,63
Portugal,PRT,EURO,REPORTING,12/23/23,2.74E+07,9822021,266,95,8910340,87,,12/23/20,,7052055,68
Paraguay,PRY,AMRO,REPORTING,12/29/23,9954852,3995915,140,56,3550673,50,,2/22/21,,1660766,23
Romania,ROU,EURO,REPORTING,12/23/23,1.61E+07,8188137,83,42,8142363,42,,1/27/21,,1770001,9
Russian Federation,RUS,EURO,REPORTING,12/23/23,1.87E+08,8.91E+07,128,61,7.97E+07,55,,,,,
Rwanda,RWA,AFRO,REPORTING,12/31/23,2.73E+07,1.09E+07,211,84,1.04E+07,80,,3/5/21,,5879013,45
Sudan,SDN,EMRO,REPORTING,12/31/23,2.87E+07,1.52E+07,65,35,1.34E+07,31,,3/9/21,,38261,
Senegal,SEN,AFRO,REPORTING,12/31/23,3182308,2684696,19,16,1548665,9,,2/23/21,,724754,4
Sierra Leone,SLE,AFRO,REPORTING,12/31/23,9155936,5676123,115,71,4961886,62,,3/15/21,,1201709,15
El Salvador,SLV,AMRO,REPORTING,12/29/23,1.15E+07,4659970,177,72,4397817,68,,2/17/21,,1908547,29
San Marino,SMR,EURO,REPORTING,12/23/23,69338,26357,204,78,23633,70,,2/24/21,,19348,57
Somalia,SOM,EMRO,REPORTING,12/31/23,8784760,8972167,55,56,7666835,48,,3/16/21,,,
Serbia,SRB,EURO,REPORTING,12/23/23,6722671,3398116,97,49,3324555,48,,12/23/20,,,
South Sudan,SSD,AFRO,REPORTING,12/31/23,4365547,4315127,39,39,4273253,38,,4/6/21,,513122,5
Sao Tome and Principe,STP,AFRO,REPORTING,12/31/23,263863,140256,120,64,111986,51,,3/15/21,,34624,16
Suriname,SUR,AMRO,REPORTING,12/29/23,554588,267820,95,46,237879,41,,2/23/21,,48889,8
Slovakia,SVK,EURO,REPORTING,12/23/23,7222380,2840017,132,52,2791711,51,,12/23/20,,1686458,31
Slovenia,SVN,EURO,REPORTING,12/23/23,3028400,1252307,144,60,1187384,57,,12/23/20,,681485,33
Sweden,SWE,EURO,REPORTING,12/23/23,2.32E+07,7563941,225,73,7403549,72,,12/23/20,,5542831,54
Eswatini,SWZ,AFRO,REPORTING,12/31/23,870205,526050,75,45,427335,37,,3/19/21,,179450,15
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,12/29/23,66829,29788,156,69,26773,62,,,,9146,21
Seychelles,SYC,AFRO,REPORTING,12/31/23,224558,88520,228,90,83565,85,,1/10/21,,44936,46
Turks and Caicos Islands,TCA,AMRO,REPORTING,12/29/23,73907,32815,191,85,30710,79,,1/11/21,,7443,19
Chad,TCD,AFRO,REPORTING,12/31/23,9151765,5147667,56,31,5020360,31,,6/4/21,,4042573,25
Togo,TGO,AFRO,REPORTING,12/31/23,3423181,2255579,41,27,1554066,19,,3/10/21,,427804,5
Tajikistan,TJK,EURO,REPORTING,12/23/23,2.06E+07,5328277,216,56,5191919,54,,3/24/21,,5322496,56
Turkmenistan,TKM,EURO,REPORTING,12/23/23,1.68E+07,4614869,278,77,4568901,76,,2/24/21,,3816400,63
Trinidad and Tobago,TTO,AMRO,REPORTING,12/29/23,1592148,754399,114,54,718969,51,,2/17/21,,174836,12
Tunisia,TUN,EMRO,REPORTING,12/31/23,1.66E+07,8896848,140,75,6401705,54,,3/13/21,,1258577,11
T�rkiye,TUR,EURO,REPORTING,12/23/23,1.52E+08,5.79E+07,181,69,5.32E+07,63,,,,2.79E+07,33
United Republic of Tanzania,TZA,AFRO,REPORTING,12/31/23,3.94E+07,3.44E+07,66,58,3.22E+07,54,,7/28/21,,,
Uganda,UGA,AFRO,REPORTING,12/31/23,2.64E+07,2.00E+07,58,44,1.31E+07,29,,3/10/21,,764664,2
Ukraine,UKR,EURO,REPORTING,12/23/23,3.57E+07,1.63E+07,82,37,1.57E+07,36,,2/24/21,,3294979,8
Uruguay,URY,AMRO,REPORTING,12/29/23,9037498,3010464,260,87,2903186,84,,2/27/21,,2080961,60
United States of America,USA,AMRO,REPORTING,12/29/23,7.12E+08,2.70E+08,215,82,2.31E+08,70,,12/14/20,,1.18E+08,36
Uzbekistan,UZB,EURO,REPORTING,12/23/23,8.39E+07,2.21E+07,251,66,1.85E+07,55,,4/28/21,,1.64E+07,49
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,12/29/23,73443,37532,66,34,31632,29,,2/1/21,,4279,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,12/29/23,3.79E+07,2.22E+07,133,78,1.43E+07,50,,2/22/21,,651502,2
British Virgin Islands,VGB,AMRO,REPORTING,12/29/23,41453,19466,137,64,18261,60,,2/11/21,,3726,12
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,12/23/23,1836901,904558,102,50,824752,46,,3/31/21,,105624,6
Yemen,YEM,EMRO,REPORTING,12/10/23,1298654,1050202,4,4,807057,3,,4/20/21,,68925,
South Africa,ZAF,AFRO,REPORTING,12/31/23,4.18E+07,2.42E+07,70,41,2.10E+07,35,,2/17/21,,4410601,7
Zambia,ZMB,AFRO,REPORTING,12/31/23,1.36E+07,1.17E+07,74,64,9155551,50,,4/14/21,,1414619,8
Zimbabwe,ZWE,AFRO,REPORTING,12/31/23,1.39E+07,7525882,94,51,5662119,38,,2/18/21,,2299968,15
United Arab Emirates,ARE,EMRO,REPORTING,7/6/22,2.49E+07,9991089,252,100,9792266,99,,,,5138699,52
Bangladesh,BGD,SEARO,REPORTING,10/18/23,3.62E+08,1.52E+08,220,92,1.42E+08,86,,1/27/21,,6.85E+07,42
Bahrain,BHR,EMRO,REPORTING,12/21/22,3476633,1241174,204,73,1226796,72,,11/4/20,,1008663,59
Brunei Darussalam,BRN,WPRO,REPORTING,6/30/23,1293100,451149,296,100,446714,100,,4/3/21,,340466,78
Bhutan,BTN,SEARO,REPORTING,10/30/22,2011426,699116,261,91,677669,88,,3/27/21,,634641,82
China,CHN,WPRO,REPORTING,4/20/23,3.52E+09,1.32E+09,239,90,1.28E+09,87,,7/22/20,,8.34E+08,57
Cook Islands,COK,WPRO,REPORTING,1/31/23,40080,15112,228,86,14728,84,,5/17/21,,10240,58
Fiji,FJI,WPRO,REPORTING,6/29/23,1555182,712025,173,79,641194,72,,3/7/21,,172078,19
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,
"China, Hong Kong SAR",HKG,WPRO,REPORTING,,,,,,,,,,,,
Indonesia,IDN,SEARO,REPORTING,11/23/23,4.48E+08,2.04E+08,164,75,1.75E+08,64,,1/13/21,,6.94E+07,25
India,IND,SEARO,REPORTING,11/23/23,2.21E+09,1.03E+09,160,74,9.52E+08,69,,1/16/21,,2.29E+08,17
Iran (Islamic Republic of),IRN,EMRO,REPORTING,11/26/23,1.55E+08,6.52E+07,185,78,5.86E+07,70,,2/9/21,,3.14E+07,37
Iraq,IRQ,EMRO,REPORTING,1/2/23,1.96E+07,1.13E+07,49,28,7944775,20,,3/2/21,,275280,1
Jordan,JOR,EMRO,REPORTING,8/21/22,1.01E+07,4821579,99,47,4558313,45,,1/13/21,,682211,7
Kiribati,KIR,WPRO,REPORTING,2/6/23,219980,100900,184,84,81474,68,,5/26/21,,37606,31
Republic of Korea,KOR,WPRO,REPORTING,9/4/23,1.36E+08,4.51E+07,265,88,4.47E+07,87,,2/26/21,,3.36E+07,66
Lao People's Democratic Republic,LAO,WPRO,REPORTING,5/21/23,1.39E+07,6324678,191,87,5691962,78,,11/25/20,,2451034,34
Lebanon,LBN,EMRO,REPORTING,12/22/22,5814699,2740227,85,40,2414223,35,,2/14/21,,660249,10
Liechtenstein,LIE,,REPORTING,,71104,26681,,,26346,,,,,18310,
Sri Lanka,LKA,SEARO,REPORTING,10/30/22,4.01E+07,1.71E+07,187,80,1.48E+07,69,,1/29/21,,8220002,38
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Maldives,MDV,SEARO,REPORTING,5/25/23,951764,399308,176,74,385167,71,,2/1/21,,167289,31
Myanmar,MMR,SEARO,REPORTING,8/21/23,9.35E+07,4.16E+07,172,76,3.59E+07,66,,1/27/21,,1.60E+07,29
Mongolia,MNG,WPRO,REPORTING,3/17/23,5668144,2284018,173,70,2185282,67,,2/23/21,,1058839,32
New Caledonia,NCL,WPRO,REPORTING,4/3/23,480497,192371,168,67,184801,65,,1/20/21,,103325,36
Niue,NIU,WPRO,REPORTING,3/4/23,4923,1638,304,100,1635,100,,6/8/21,,1225,76
Nepal,NPL,SEARO,REPORTING,11/23/23,6.26E+07,2.79E+07,215,96,2.45E+07,84,,1/27/21,,1.03E+07,35
Nauru,NRU,WPRO,REPORTING,2/20/23,32157,13106,297,100,11346,100,,4/9/21,,7705,71
New Zealand,NZL,WPRO,REPORTING,4/21/23,1.23E+07,4259911,254,88,4096278,85,,2/19/21,,2719283,56
Oman,OMN,EMRO,REPORTING,10/25/22,7108547,3279632,139,64,3048826,60,,12/29/20,,779859,15
Pakistan,PAK,EMRO,REPORTING,11/14/23,3.41E+08,1.66E+08,154,75,1.40E+08,64,,2/3/21,,5.32E+07,24
Philippines,PHL,WPRO,REPORTING,3/19/23,1.89E+08,8.27E+07,173,75,7.84E+07,72,,3/1/21,,2.38E+07,22
Palau,PLW,WPRO,REPORTING,3/10/23,51032,20295,282,100,18278,100,,1/3/21,,12885,71
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,10/18/22,3748571,2012767,73,39,1776973,35,,2/2/21,,336967,7
French Polynesia,PYF,WPRO,REPORTING,7/17/23,493692,195688,176,70,195688,70,,1/18/21,,102317,36
Qatar,QAT,EMRO,REPORTING,5/7/23,7609178,2852178,264,99,2852178,99,,,,1904822,66
Saudi Arabia,SAU,EMRO,REPORTING,4/25/23,6.85E+07,2.70E+07,197,78,2.54E+07,73,,1/6/21,,1.61E+07,46
Singapore,SGP,WPRO,REPORTING,8/29/23,1.53E+07,5287005,262,90,5248693,90,,12/30/20,,4769158,82
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,7/4/23,612700,335796,89,49,254016,37,,3/23/21,,27896,4
Syrian Arab Republic,SYR,EMRO,REPORTING,4/18/23,5090630,3295630,29,19,2358365,13,,4/1/21,,75881,
Thailand,THA,SEARO,REPORTING,9/1/23,1.43E+08,5.77E+07,204,83,5.42E+07,78,,2/28/21,,3.21E+07,46
Tokelau,TKL,WPRO,REPORTING,12/5/22,6342,2203,470,100,2203,100,,7/20/21,,968,72
Timor-Leste,TLS,SEARO,REPORTING,11/22/23,2028798,886838,154,67,801759,61,,4/7/21,,340201,26
Tonga,TON,WPRO,REPORTING,6/30/23,204737,87375,194,83,77390,73,,4/14/21,,38588,37
Tuvalu,TUV,WPRO,REPORTING,2/1/23,26783,9763,227,83,9505,81,,4/13/21,,5745,49
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,6/30/23,2.66E+08,9.05E+07,274,93,8.60E+07,88,,3/8/21,,5.80E+07,60
Vanuatu,VUT,WPRO,REPORTING,2/20/23,355430,176624,116,58,162250,53,,6/2/21,,16556,5
Wallis and Futuna,WLF,WPRO,REPORTING,1/23/23,17303,7150,154,64,6803,60,,3/19/21,,3350,30
Samoa,WSM,WPRO,REPORTING,2/24/23,453130,191403,228,96,177954,90,,4/18/21,,82268,41
